dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds,config,sig,net_sig
thyroid_recurrence,Yes,0.9,1,5,4,certified,rules,32,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.116,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,rules_pure,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.106,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,rules_pure,2,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.106,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,rules_pure,4,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.106,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,rules_pure,8,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.106,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,rules_pure,16,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.106,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,rules_pure,32,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.106,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,rules_disjoint,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.11,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,rules_disjoint,2,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.11,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,rules_disjoint,4,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.11,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,rules_disjoint,8,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.11,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,rules_disjoint,16,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.11,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,rules_disjoint,32,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.11,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,tree,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.93,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,tree,2,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.93,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,tree,4,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.93,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,tree,8,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.93,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,tree,16,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.93,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,tree,32,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.93,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,ssdpp,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.203,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,ssdpp,2,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.203,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,ssdpp,4,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.203,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,ssdpp,8,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.203,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,ssdpp,16,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.203,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
thyroid_recurrence,Yes,0.9,1,5,4,certified,ssdpp,32,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.203,thyroid_recurrence Yes t=0.9 m=1 d<=4 cert,=,=
titanic,survived,0.9,1,5,4,purity,vsf,1,0.0,0.0,0.0,1,0.0,-0.0106,0.0285,0.47,1.0,0.006,0.0,0.0,0.0,0.0,X_3#5,0.011,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,vsf,2,0.2673,0.0248,0.9618,25,0.96,0.1514,0.111,0.978,2.0,0.2667,0.0,0.0,0.0,0.0,X_1+X_2#0,0.011,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,vsf,4,0.4708,0.0233,0.949,25,0.96,0.2343,0.0801,1.0,4.0,0.4708,0.0,0.0,0.0,0.0,X_1+X_2#0 | X_1+X_2#2,0.011,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,vsf,8,0.4708,0.0233,0.949,25,0.96,0.2343,0.0801,1.0,4.0,0.4708,0.0,0.0,0.0,0.0,X_1+X_2#0 | X_1+X_2#2,0.011,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,vsf,16,0.4831,0.024,0.9505,25,0.96,0.2466,0.0776,0.957,9.44,0.4858,0.0,0.0,0.0,0.0,X_1+X_3#1 | X_1+X_3#3 | X_1+X_3#8 | X_1+X_3#10 | X_1+X_3#7 | X_1+X_3#0 | X_1+X_3#5,0.011,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,vsf,32,0.4831,0.0235,0.9517,25,0.96,0.2518,0.074,0.96,18.36,0.494,0.0,0.0,0.0,0.0,X_1+X_2+X_3#0 | X_1+X_2+X_3#1 | X_1+X_2+X_3#9 | X_1+X_2+X_3#10 | X_1+X_2+X_3#11 | X_1+X_2+X_3#2 | X_1+X_2+X_3#3 | X_1+X_2+X_3#4 | X_1+X_2+X_3#5,0.011,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,vsf_partial,1,0.0,0.0,0.0,1,0.0,-0.0106,0.0285,0.47,1.0,0.006,0.0,0.0,0.0,0.0,X_3#5,0.083,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,vsf_partial,2,0.2673,0.0248,0.9618,25,0.96,0.1514,0.111,0.978,2.0,0.2667,0.0,0.0,0.0,0.0,X_1+X_2#0,0.083,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,vsf_partial,4,0.4708,0.0233,0.949,25,0.96,0.2343,0.0801,1.0,4.0,0.4708,0.0,0.0,0.0,0.0,X_1+X_2#0 | X_1+X_2#2,0.083,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,vsf_partial,8,0.524,0.0251,0.954,25,0.96,0.2875,0.078,0.995,6.64,0.5251,0.0532,0.0132,0.0532,0.0132,X_1+X_2#0 | X_1+X_2#2 | X_3+X_5#1 | X_1+X_3#0,0.083,titanic survived t=0.9 m=1 d<=4 puri,+,+
titanic,survived,0.9,1,5,4,purity,vsf_partial,16,0.5299,0.0281,0.9398,25,0.88,0.2089,0.1058,0.961,14.2,0.5386,0.0468,0.0139,-0.0377,0.0976,X_1+X_2#0 | X_1+X_2#2 | X_2+X_4+X_5#19 | X_1+X_2+X_4+X_5#45 | X_1+X_4#1 | X_1+X_2+X_4#7,0.083,titanic survived t=0.9 m=1 d<=4 puri,+,=
titanic,survived,0.9,1,5,4,purity,vsf_partial,32,0.5281,0.0272,0.9151,25,0.6,0.0647,0.142,0.913,28.52,0.5529,0.0451,0.0149,-0.1871,0.1259,X_1+X_2#0 | X_1+X_2#2 | X_2+X_4+X_5#19 | X_1+X_2+X_4+X_5#45 | X_1+X_4#1 | X_1+X_2+X_4#7 | X_1+X_2+X_4#20 | X_2+X_4+X_5#3 | X_1+X_2+X_4+X_5#30,0.083,titanic survived t=0.9 m=1 d<=4 puri,+,=
titanic,survived,0.9,1,5,4,purity,vsf_greedy,1,0.0,0.0,0.0,1,0.0,-0.0106,0.0285,0.47,1.0,0.006,0.0,0.0,0.0,0.0,X_3#5,0.004,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,vsf_greedy,2,0.0813,0.0324,0.8547,22,0.5,-0.0347,0.0711,0.233,2.0,0.0871,-0.186,0.0371,-0.1862,0.097,X_1+X_3#1,0.004,titanic survived t=0.9 m=1 d<=4 puri,-,=
titanic,survived,0.9,1,5,4,purity,vsf_greedy,4,0.1545,0.0495,0.8709,25,0.44,-0.0088,0.0974,0.25,3.92,0.1544,-0.3163,0.0498,-0.2431,0.1106,X_1+X_3#1 | X_1+X_3#3,0.004,titanic survived t=0.9 m=1 d<=4 puri,-,-
titanic,survived,0.9,1,5,4,purity,vsf_greedy,8,0.2411,0.0821,0.927,24,0.708,0.0779,0.0868,0.364,7.36,0.2494,-0.2297,0.0792,-0.1565,0.066,X_1+X_3#1 | X_1+X_3#3 | X_1+X_3#8 | X_1+X_3#10,0.004,titanic survived t=0.9 m=1 d<=4 puri,-,-
titanic,survived,0.9,1,5,4,purity,vsf_greedy,16,0.3188,0.07,0.9441,25,0.8,0.1453,0.0786,0.542,14.52,0.3259,-0.1642,0.07,-0.1013,0.0395,X_1+X_3#1 | X_1+X_3#3 | X_1+X_3#8 | X_1+X_3#10 | X_1+X_3#7 | X_1+X_3#0 | X_1+X_3#5,0.004,titanic survived t=0.9 m=1 d<=4 puri,-,-
titanic,survived,0.9,1,5,4,purity,vsf_greedy,32,0.3534,0.059,0.9481,25,0.84,0.164,0.0718,0.616,27.16,0.375,-0.1297,0.0566,-0.0878,0.046,X_1+X_3#1 | X_1+X_3#3 | X_1+X_3#8 | X_1+X_3#10 | X_1+X_3#7 | X_1+X_3#0 | X_1+X_3#5,0.004,titanic survived t=0.9 m=1 d<=4 puri,-,=
titanic,survived,0.9,1,5,4,purity,rules,1,0.0,0.0,0.0,1,0.0,-0.0106,0.0285,0.47,1.0,0.006,0.0,0.0,0.0,0.0,X_3=5,0.022,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,rules,2,0.2673,0.0248,0.9618,25,0.96,0.1514,0.111,0.978,2.0,0.2667,0.0,0.0,0.0,0.0,X_1=0 & X_2=0,0.022,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,rules,4,0.4702,0.023,0.9428,25,0.92,0.1967,0.1278,0.99,4.0,0.4703,-0.0006,0.0016,-0.0376,0.1014,X_1=0 & X_2=0 | X_1=1 & X_2=0,0.022,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,rules,8,0.534,0.0261,0.9031,25,0.6,-0.0031,0.1631,0.904,8.0,0.548,0.0632,0.0124,-0.2374,0.1572,X_1=0 & X_2=0 | X_1=1 & X_2=0 | X_3=0 & X_5=2 | X_3=3 & X_8=0,0.022,titanic survived t=0.9 m=1 d<=4 puri,+,=
titanic,survived,0.9,1,5,4,purity,rules,16,0.5539,0.0259,0.8666,25,0.12,-0.2257,0.1493,0.844,15.68,0.5896,0.0708,0.0165,-0.4723,0.1666,X_1=0 & X_2=0 | X_1=1 & X_2=0 | X_3=0 & X_5=2 | X_3=3 & X_8=0 | X_3=1 & X_7=2 & X_8=1 | X_1=0 & X_3=4 & X_4=0 & X_7=0,0.022,titanic survived t=0.9 m=1 d<=4 puri,+,-
titanic,survived,0.9,1,5,4,purity,rules,32,0.5855,0.0251,0.8423,25,0.04,-0.4153,0.1658,0.842,31.48,0.6373,0.1024,0.0177,-0.6672,0.1777,X_1=0 & X_2=0 | X_1=1 & X_2=0 | X_3=0 & X_5=2 | X_3=3 & X_8=0 | X_3=1 & X_7=2 & X_8=1 | X_1=0 & X_3=4 & X_4=0 & X_7=0 | X_1=2 & X_5=1 & X_8=0 | X_3=3 & X_4=4 & X_5=2 | X_5=2 & X_6=1 & X_8=0 | X_1=2 & X_6=4 | X_4=3 & X_8=1 | X_5=1 & X_6=1 | X_1=1 & X_3=0,0.022,titanic survived t=0.9 m=1 d<=4 puri,+,-
titanic,survived,0.9,1,5,4,purity,rules_pure,1,0.0,0.0,0.0,1,0.0,-0.0106,0.0285,0.47,1.0,0.006,0.0,0.0,0.0,0.0,X_3=5,0.023,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,rules_pure,2,0.2673,0.0248,0.9618,25,0.96,0.1514,0.111,0.978,2.0,0.2667,0.0,0.0,0.0,0.0,X_1=0 & X_2=0,0.023,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,rules_pure,4,0.4702,0.023,0.9428,25,0.92,0.1967,0.1278,0.99,4.0,0.4703,-0.0006,0.0016,-0.0376,0.1014,X_1=0 & X_2=0 | X_1=1 & X_2=0,0.023,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,rules_pure,8,0.534,0.0261,0.9042,25,0.6,0.0075,0.1421,0.908,8.0,0.5478,0.0632,0.0124,-0.2269,0.1349,X_1=0 & X_2=0 | X_1=1 & X_2=0 | X_3=0 & X_5=2 | X_3=3 & X_8=0,0.023,titanic survived t=0.9 m=1 d<=4 puri,+,=
titanic,survived,0.9,1,5,4,purity,rules_pure,16,0.5539,0.0259,0.8677,25,0.12,-0.2151,0.1286,0.846,15.64,0.5889,0.0708,0.0165,-0.4617,0.1483,X_1=0 & X_2=0 | X_1=1 & X_2=0 | X_3=0 & X_5=2 | X_3=3 & X_8=0 | X_3=1 & X_7=2 & X_8=1 | X_1=0 & X_3=4 & X_4=0 & X_7=0,0.023,titanic survived t=0.9 m=1 d<=4 puri,+,-
titanic,survived,0.9,1,5,4,purity,rules_pure,32,0.5867,0.0258,0.8427,25,0.04,-0.4142,0.1638,0.843,31.52,0.637,0.1036,0.018,-0.666,0.1758,X_1=0 & X_2=0 | X_1=1 & X_2=0 | X_3=0 & X_5=2 | X_3=3 & X_8=0 | X_3=1 & X_7=2 & X_8=1 | X_1=0 & X_3=4 & X_4=0 & X_7=0 | X_1=2 & X_5=1 & X_8=0 | X_3=3 & X_4=4 & X_5=2 | X_5=2 & X_6=1 & X_8=0 | X_1=2 & X_6=4 | X_4=3 & X_8=1 | X_5=1 & X_6=1 | X_1=1 & X_3=0,0.023,titanic survived t=0.9 m=1 d<=4 puri,+,-
titanic,survived,0.9,1,5,4,purity,rules_disjoint,1,0.0,0.0,0.0,1,0.0,-0.0106,0.0285,0.47,1.0,0.006,0.0,0.0,0.0,0.0,X_3=5,0.022,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,rules_disjoint,2,0.2673,0.0248,0.9618,25,0.96,0.1514,0.111,0.978,2.0,0.2667,0.0,0.0,0.0,0.0,X_1=0 & X_2=0,0.022,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,rules_disjoint,4,0.4643,0.026,0.9412,25,0.92,0.1961,0.1291,0.958,4.0,0.4657,-0.0065,0.0174,-0.0382,0.103,X_1=0 & X_2=0 | X_1=1 & X_2=0,0.022,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,rules_disjoint,8,0.5269,0.0242,0.9443,25,0.92,0.2322,0.1273,0.978,7.92,0.5317,0.0561,0.0128,-0.0021,0.1091,X_1=0 & X_2=0 | X_1=1 & X_2=0 | X_3=0 & X_5=2 | X_4=3 & X_8=1,0.022,titanic survived t=0.9 m=1 d<=4 puri,+,=
titanic,survived,0.9,1,5,4,purity,rules_disjoint,16,0.5439,0.0263,0.9132,25,0.64,0.054,0.1631,0.906,15.72,0.569,0.0608,0.0136,-0.1926,0.161,X_1=0 & X_2=0 | X_1=1 & X_2=0 | X_3=0 & X_5=2 | X_1=2 & X_5=1 & X_8=0 | X_2=0 & X_7=1 & X_8=0 | X_1=0 & X_3=4 & X_4=0 & X_7=0,0.022,titanic survived t=0.9 m=1 d<=4 puri,+,=
titanic,survived,0.9,1,5,4,purity,rules_disjoint,32,0.5715,0.0254,0.8726,25,0.32,-0.2032,0.1766,0.885,31.44,0.6094,0.0884,0.0166,-0.4551,0.1779,X_1=0 & X_2=0 | X_1=1 & X_2=0 | X_3=0 & X_5=2 | X_1=2 & X_5=1 & X_8=0 | X_2=0 & X_7=1 & X_8=0 | X_1=0 & X_3=4 & X_4=0 & X_7=0 | X_1=2 & X_3=1 & X_7=2 & X_8=1 | X_4=3 & X_8=1 | X_1=2 & X_4=0 & X_6=4 | X_2=1 & X_5=1 & X_6=1 | X_1=2 & X_2=0 & X_4=3 & X_5=2,0.022,titanic survived t=0.9 m=1 d<=4 puri,+,-
titanic,survived,0.9,1,5,4,purity,tree,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0106,0.0285,,0.061,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,tree,2,0.155,0.1247,0.9335,8,0.875,0.0448,0.1105,0.164,0.64,0.152,-0.1123,0.123,-0.1066,0.1614,,0.061,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,tree,4,0.5048,0.0271,0.9378,25,0.88,0.1896,0.1339,0.986,2.92,0.5051,0.034,0.0115,-0.0448,0.0847,entropy-None-depth3-leaf3,0.061,titanic survived t=0.9 m=1 d<=4 puri,+,=
titanic,survived,0.9,1,5,4,purity,tree,8,0.5106,0.0265,0.9379,25,0.88,0.1901,0.1329,0.959,7.04,0.5156,0.0398,0.0126,-0.0443,0.0867,gini-None-depth4-leaf4 | gini-None-depth4-leaf15,0.061,titanic survived t=0.9 m=1 d<=4 puri,+,=
titanic,survived,0.9,1,5,4,purity,tree,16,0.5118,0.0249,0.9363,25,0.8,0.1859,0.114,0.946,10.72,0.5218,0.0287,0.0115,-0.0607,0.0614,gini-None-depth4-leaf4 | gini-None-depth4-leaf15 | gini-None-depth4-leaf21,0.061,titanic survived t=0.9 m=1 d<=4 puri,+,=
titanic,survived,0.9,1,5,4,purity,tree,32,0.5141,0.0269,0.9374,25,0.8,0.1936,0.1126,0.938,11.96,0.5233,0.031,0.0132,-0.0583,0.0631,gini-None-depth4-leaf4 | gini-None-depth4-leaf15 | gini-None-depth4-leaf21,0.061,titanic survived t=0.9 m=1 d<=4 puri,+,=
titanic,survived,0.9,1,5,4,purity,ssdpp,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0106,0.0285,,0.086,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,ssdpp,2,0.2051,0.0458,0.9315,25,0.76,0.0526,0.0495,0.455,2.0,0.186,-0.0622,0.0408,-0.0988,0.1285,ssdpp#1,0.086,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,ssdpp,4,0.2742,0.0631,0.9426,25,0.92,0.1007,0.0473,0.457,3.68,0.2841,-0.1966,0.0586,-0.1336,0.0642,ssdpp#1 | ssdpp#2,0.086,titanic survived t=0.9 m=1 d<=4 puri,-,-
titanic,survived,0.9,1,5,4,purity,ssdpp,8,0.4426,0.0553,0.9488,25,0.92,0.2061,0.0606,0.78,7.16,0.4483,-0.0282,0.0444,-0.0282,0.0444,ssdpp#1 | ssdpp#0 | ssdpp#2,0.086,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,ssdpp,16,0.4714,0.0515,0.9512,25,0.92,0.2349,0.0672,0.861,8.12,0.4731,-0.0117,0.0377,-0.0117,0.0377,ssdpp#1 | ssdpp#0 | ssdpp#2,0.086,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.9,1,5,4,purity,ssdpp,32,0.4714,0.0515,0.9512,25,0.92,0.2349,0.0672,0.861,8.12,0.4731,-0.0117,0.0384,-0.0169,0.0437,ssdpp#1 | ssdpp#0 | ssdpp#2,0.086,titanic survived t=0.9 m=1 d<=4 puri,=,=
titanic,survived,0.7,1,5,4,purity,vsf,1,0.6813,0.0246,0.7437,25,0.88,0.1284,0.0563,1.0,1.0,0.6813,0.0,0.0,0.0,0.0,X_2#0,0.011,titanic survived t=0.7 m=1 d<=4 puri,=,=
titanic,survived,0.7,1,5,4,purity,vsf,2,0.6813,0.0246,0.7437,25,0.88,0.1284,0.0563,1.0,1.0,0.6813,0.0,0.0,0.0,0.0,X_2#0,0.011,titanic survived t=0.7 m=1 d<=4 puri,=,=
titanic,survived,0.7,1,5,4,purity,vsf,4,0.6807,0.0245,0.7431,25,0.88,0.1264,0.058,0.999,1.12,0.6814,0.0,0.0,0.0,0.0,X_2#0,0.011,titanic survived t=0.7 m=1 d<=4 puri,=,=
titanic,survived,0.7,1,5,4,purity,vsf,8,0.6807,0.0245,0.7431,25,0.88,0.1264,0.058,0.999,1.12,0.6814,0.0,0.0,0.0,0.0,X_2#0,0.011,titanic survived t=0.7 m=1 d<=4 puri,=,=
titanic,survived,0.7,1,5,4,purity,vsf,16,0.6755,0.0239,0.7437,25,0.88,0.1266,0.058,0.981,1.64,0.6816,0.0,0.0,0.0,0.0,X_2#0,0.011,titanic survived t=0.7 m=1 d<=4 puri,=,=
titanic,survived,0.7,1,5,4,purity,vsf,32,0.6672,0.0258,0.7529,25,0.92,0.1513,0.0595,0.93,7.72,0.6836,0.0,0.0,0.0,0.0,X_2#0,0.011,titanic survived t=0.7 m=1 d<=4 puri,=,=
titanic,survived,0.7,1,5,4,purity,vsf_partial,1,0.6813,0.0246,0.7437,25,0.88,0.1284,0.0563,1.0,1.0,0.6813,0.0,0.0,0.0,0.0,X_2#0,0.126,titanic survived t=0.7 m=1 d<=4 puri,=,=
titanic,survived,0.7,1,5,4,purity,vsf_partial,2,0.6813,0.0246,0.7437,25,0.88,0.1284,0.0563,1.0,1.0,0.6813,0.0,0.0,0.0,0.0,X_2#0,0.126,titanic survived t=0.7 m=1 d<=4 puri,=,=
titanic,survived,0.7,1,5,4,purity,vsf_partial,4,0.7339,0.0223,0.7574,25,1.0,0.181,0.0603,1.0,3.0,0.7339,0.0532,0.0126,0.0545,0.0128,X_2#0 | X_3+X_5#1,0.126,titanic survived t=0.7 m=1 d<=4 puri,+,+
titanic,survived,0.7,1,5,4,purity,vsf_partial,8,0.7356,0.0204,0.7424,25,0.96,0.1349,0.0625,0.956,7.68,0.7519,0.055,0.0129,0.0085,0.0252,X_2#0 | X_3+X_5#1 | X_2+X_5+X_6#21 | X_3+X_6#0,0.126,titanic survived t=0.7 m=1 d<=4 puri,+,=
titanic,survived,0.7,1,5,4,purity,vsf_partial,16,0.7386,0.0209,0.7363,25,0.92,0.116,0.0685,0.943,15.04,0.7671,0.0631,0.0181,-0.0107,0.0309,X_2#0 | X_3+X_5#1 | X_2+X_5+X_6#21 | X_2+X_5+X_6#24 | X_3+X_6#25 | X_3+X_6#27 | X_2+X_5+X_6#26,0.126,titanic survived t=0.7 m=1 d<=4 puri,+,=
titanic,survived,0.7,1,5,4,purity,vsf_partial,32,0.7339,0.0182,0.7273,25,0.72,0.0839,0.0773,0.93,24.04,0.7776,0.0667,0.0203,-0.0673,0.0474,X_2#0 | X_3+X_5#1 | X_2+X_5+X_6#21 | X_2+X_5+X_6#24 | X_3+X_6#25 | X_3+X_6#27 | X_2+X_5+X_6#26,0.126,titanic survived t=0.7 m=1 d<=4 puri,+,=
titanic,survived,0.7,1,5,4,purity,vsf_greedy,1,0.6702,0.0373,0.7422,25,0.88,0.1255,0.059,0.967,1.0,0.669,-0.011,0.0297,-0.0029,0.0078,X_2#0,0.003,titanic survived t=0.7 m=1 d<=4 puri,=,=
titanic,survived,0.7,1,5,4,purity,vsf_greedy,2,0.6807,0.0245,0.7435,25,0.88,0.1278,0.0567,0.999,1.04,0.6808,-0.0006,0.0016,-0.0006,0.0016,X_2#0,0.003,titanic survived t=0.7 m=1 d<=4 puri,=,=
titanic,survived,0.7,1,5,4,purity,vsf_greedy,4,0.6807,0.0245,0.7431,25,0.88,0.1264,0.058,0.999,1.12,0.6814,0.0,0.0,0.0,0.0,X_2#0,0.003,titanic survived t=0.7 m=1 d<=4 puri,=,=
titanic,survived,0.7,1,5,4,purity,vsf_greedy,8,0.6807,0.0245,0.7431,25,0.88,0.1264,0.058,0.999,1.12,0.6814,0.0,0.0,0.0,0.0,X_2#0,0.003,titanic survived t=0.7 m=1 d<=4 puri,=,=
titanic,survived,0.7,1,5,4,purity,vsf_greedy,16,0.6807,0.0245,0.7431,25,0.88,0.1264,0.058,0.999,1.12,0.6814,0.0052,0.014,-0.0002,0.0005,X_2#0,0.003,titanic survived t=0.7 m=1 d<=4 puri,=,=
titanic,survived,0.7,1,5,4,purity,vsf_greedy,32,0.6813,0.0241,0.7461,25,0.88,0.1338,0.0634,0.978,3.44,0.6825,0.014,0.0224,-0.0175,0.0287,X_2#0,0.003,titanic survived t=0.7 m=1 d<=4 puri,=,=
titanic,survived,0.7,1,5,4,purity,rules,1,0.6813,0.0246,0.7437,25,0.88,0.1284,0.0563,1.0,1.0,0.6813,0.0,0.0,0.0,0.0,X_2=0,0.03,titanic survived t=0.7 m=1 d<=4 puri,=,=
titanic,survived,0.7,1,5,4,purity,rules,2,0.6976,0.0252,0.725,25,0.72,0.075,0.0677,0.946,2.0,0.7105,0.0164,0.0062,-0.0533,0.0274,X_2=0 | X_6=4,0.03,titanic survived t=0.7 m=1 d<=4 puri,+,=
